fold,method,params,sample_accuracy,sample_count,sample_macro_f1,sample_weighted_f1,seconds,test_subjects,train_subjects,trial_accuracy,trial_count,trial_macro_f1,trial_weighted_f1,val_subjects
loso_test_p3_val_p4,dgcnn_gru,301067,0.6343226788432268,26280,0.5741637241236919,0.574163724123692,5111.4,p3,"p1,p2,p5,p6,p7",0.7,30,0.625,0.625,p4
loso_test_p3_val_p4,radar_stnet,813947,0.7183789954337899,26280,0.6678382898930673,0.6678382898930674,2105.45,p3,"p1,p2,p5,p6,p7",0.8,30,0.735,0.735,p4
loso_test_p4_val_p5,stats_svm,0,0.4290334855403349,26280,0.3292116649708621,0.3292116649708622,224.65,p4,"p1,p2,p3,p6,p7",0.43333333333333335,30,0.31862745098039214,0.31862745098039214,p5
loso_test_p4_val_p5,stats_rf,0,0.4650304414003044,26280,0.38990638881835826,0.38990638881835826,209.75,p4,"p1,p2,p3,p6,p7",0.4666666666666667,30,0.3785714285714286,0.3785714285714286,p5
loso_test_p4_val_p5,stats_knn,0,0.46293759512937593,26280,0.4032653792385362,0.40326537923853617,220.86,p4,"p1,p2,p3,p6,p7",0.5333333333333333,30,0.4416666666666666,0.44166666666666665,p5
loso_test_p4_val_p5,pointnet_gru,292875,0.5569254185692541,26280,0.4835034183146257,0.4835034183146258,1587.01,p4,"p1,p2,p3,p6,p7",0.6333333333333333,30,0.5416666666666666,0.5416666666666666,p5
loso_test_p4_val_p5,pointnet_tcn,120075,0.6917808219178082,26280,0.6609822715613067,0.6609822715613067,1600.04,p4,"p1,p2,p3,p6,p7",0.7333333333333333,30,0.6823809523809524,0.6823809523809524,p5
loso_test_p4_val_p5,robhar_like,209963,0.5950152207001522,26280,0.488220729474497,0.488220729474497,1585.34,p4,"p1,p2,p3,p6,p7",0.6,30,0.4833333333333333,0.48333333333333334,p5
loso_test_p4_val_p5,pct_gru,533003,0.42100456621004567,26280,0.3077117015124167,0.3077117015124167,3056.77,p4,"p1,p2,p3,p6,p7",0.4,30,0.26666666666666666,0.26666666666666666,p5
loso_test_p4_val_p5,dgcnn_gru,301067,0.6733257229832572,26280,0.6181872709598201,0.6181872709598202,5094.23,p4,"p1,p2,p3,p6,p7",0.7,30,0.6257142857142857,0.6257142857142858,p5
loso_test_p4_val_p5,radar_stnet,813947,0.7359969558599696,26280,0.6923062660672386,0.6923062660672384,2371.87,p4,"p1,p2,p3,p6,p7",0.7666666666666667,30,0.7066666666666667,0.7066666666666667,p5
loso_test_p5_val_p6,stats_svm,0,0.7631659056316591,26280,0.718156801302946,0.718156801302946,229.66,p5,"p1,p2,p3,p4,p7",0.8,30,0.75,0.75,p6
