
=== loso_test_p1_val_p2 | stats_svm ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | stats_rf ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | stats_knn ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | pointnet_gru ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]
=== loso_test_p1_val_p2 | pct_gru ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]
[loso_test_p1_val_p2] pct_gru epoch 001/30 | train_loss=0.2130 | train_acc=0.9718 | val_f1=0.5688
[loso_test_p1_val_p2] pct_gru epoch 002/30 | train_loss=0.1410 | train_acc=0.9973 | val_f1=0.3910
[loso_test_p1_val_p2] pct_gru epoch 003/30 | train_loss=0.1384 | train_acc=0.9980 | val_f1=0.4560
[loso_test_p1_val_p2] pct_gru epoch 004/30 | train_loss=0.1362 | train_acc=0.9986 | val_f1=0.6074
[loso_test_p1_val_p2] pct_gru epoch 005/30 | train_loss=0.1349 | train_acc=0.9990 | val_f1=0.5452
[loso_test_p1_val_p2] pct_gru epoch 006/30 | train_loss=0.1341 | train_acc=0.9992 | val_f1=0.5996
[loso_test_p1_val_p2] pct_gru epoch 007/30 | train_loss=0.1353 | train_acc=0.9988 | val_f1=0.6210
[loso_test_p1_val_p2] pct_gru epoch 008/30 | train_loss=0.1327 | train_acc=0.9996 | val_f1=0.5379
[loso_test_p1_val_p2] pct_gru epoch 009/30 | train_loss=0.1328 | train_acc=0.9996 | val_f1=0.6168
[loso_test_p1_val_p2] pct_gru epoch 010/30 | train_loss=0.1311 | train_acc=1.0000 | val_f1=0.6564
[loso_test_p1_val_p2] pct_gru epoch 011/30 | train_loss=0.1329 | train_acc=0.9995 | val_f1=0.5754
[loso_test_p1_val_p2] pct_gru epoch 012/30 | train_loss=0.1330 | train_acc=0.9995 | val_f1=0.5790
[loso_test_p1_val_p2] pct_gru epoch 013/30 | train_loss=0.1318 | train_acc=0.9998 | val_f1=0.6146
[loso_test_p1_val_p2] pct_gru epoch 014/30 | train_loss=0.1310 | train_acc=1.0000 | val_f1=0.6008
[loso_test_p1_val_p2] pct_gru epoch 015/30 | train_loss=0.1322 | train_acc=0.9996 | val_f1=0.5343
[loso_test_p1_val_p2] pct_gru epoch 016/30 | train_loss=0.1309 | train_acc=1.0000 | val_f1=0.6087
[loso_test_p1_val_p2] pct_gru epoch 017/30 | train_loss=0.1319 | train_acc=0.9997 | val_f1=0.4705
[loso_test_p1_val_p2] pct_gru epoch 018/30 | train_loss=0.1309 | train_acc=1.0000 | val_f1=0.5969
