variant,degradation,level,seed,sample_accuracy,sample_macro_f1,sample_weighted_f1,sample_count,trial_accuracy,trial_macro_f1,trial_count
no_tcn,noise,0.05,2,0.8724885844748859,0.8522974245334124,0.8522974245334125,26280,0.9,0.8666666666666666,30
no_tcn,noise,0.08,0,0.8371004566210045,0.8096876962309537,0.8096876962309538,26280,0.8666666666666667,0.8400000000000001,30
no_tcn,noise,0.08,1,0.8376331811263318,0.8101199225517977,0.8101199225517977,26280,0.8666666666666667,0.8400000000000001,30
no_tcn,noise,0.08,2,0.836834094368341,0.8095090452950743,0.8095090452950743,26280,0.8666666666666667,0.8400000000000001,30
no_tcn,noise,0.1,0,0.8115296803652968,0.7793208867462136,0.7793208867462136,26280,0.8,0.75,30
no_tcn,noise,0.1,1,0.8106544901065449,0.7782073144667254,0.7782073144667254,26280,0.8,0.75,30
no_tcn,noise,0.1,2,0.8127853881278538,0.7808370391279982,0.7808370391279982,26280,0.8,0.75,30
no_tcn,clutter,0.0,0,0.8962709284627093,0.883690461050391,0.883690461050391,26280,0.9,0.8666666666666666,30
no_tcn,clutter,0.1,0,0.28599695585996954,0.17775973121076902,0.17775973121076902,26280,0.3,0.18181818181818182,30
no_tcn,clutter,0.1,1,0.28687214611872147,0.17883086107347723,0.1788308610734772,26280,0.3,0.18181818181818182,30
no_tcn,clutter,0.1,2,0.28573059360730596,0.17778887635194504,0.17778887635194504,26280,0.3,0.18181818181818182,30
no_tcn,clutter,0.2,0,0.24805936073059362,0.14390746641052732,0.14390746641052732,26280,0.3,0.18181818181818182,30
no_tcn,clutter,0.2,1,0.24851598173515982,0.14435032714839574,0.14435032714839574,26280,0.3,0.18181818181818182,30
no_tcn,clutter,0.2,2,0.2487062404870624,0.14470753586289806,0.14470753586289806,26280,0.3,0.18181818181818182,30
no_tcn,clutter,0.4,0,0.21407914764079147,0.0967182971702247,0.09671829717022472,26280,0.2,0.06857142857142857,30
no_tcn,clutter,0.4,1,0.2136605783866058,0.09595852845716304,0.09595852845716304,26280,0.2,0.06857142857142857,30
no_tcn,clutter,0.4,2,0.21358447488584476,0.095966779274441,0.09596677927444099,26280,0.2,0.06857142857142857,30
no_tcn,clutter,0.6,0,0.20273972602739726,0.07423344505185964,0.07423344505185964,26280,0.2,0.06666666666666667,30
no_tcn,clutter,0.6,1,0.20273972602739726,0.07421778095544285,0.07421778095544285,26280,0.2,0.06666666666666667,30
no_tcn,clutter,0.6,2,0.20277777777777778,0.07427268636147606,0.07427268636147606,26280,0.2,0.06666666666666667,30
no_tcn,clutter,0.8,0,0.20019025875190258,0.0679292815818138,0.06792928158181379,26280,0.2,0.06666666666666667,30
no_tcn,clutter,0.8,1,0.20034246575342465,0.06824978060437534,0.06824978060437534,26280,0.2,0.06666666666666667,30
no_tcn,clutter,0.8,2,0.20038051750380517,0.06836110130010128,0.06836110130010126,26280,0.2,0.06666666666666667,30
